성취기준코드,학년군,교과,영역,성취기준,성취수준A,성취수준B,성취수준C,탐구 활동,원문쪽
[2국06-01],초등 1~2학년군,국어,매체,일상의 다양한 매체와 매체 자료에 흥미와 관심을 가진다.,일상의 다양한 매체와 매체 자료에 대해 흥미와 관심이 높고 매체와 매체 자료의 종류와 특징을 구체적으로 안다.,일상의 다양한 매체와 매체 자료에 대해 흥미와 관심이 있고 매체와 매체 자료의 종류를 안다.,"매체와 매체 자료에 대한 흥미나 관심을 가지고, 매체와 매체 자료의 일부 종류를 안다.",,24
[2국06-02],초등 1~2학년군,국어,매체,일상의 경험과 생각을 글과 그림으로 표현한다.,다양한 방식으로 글과 그림을 활용하여 일상의 경험과 자신의 생각을 효과적으로 표현할 수 있다.,글과 그림을 활용하여 일상의 경험과 자신의 생각을 표현할 수 있다.,글이나 그림을 일부 활용하여 자신의 경험이나 생각을 부분적으로 표현한다.,,24
[2수01-01],초등 1~2학년군,수학,수와 연산,"수의 필요성을 인식하면서 0과 100까지의 수 개념을 이해하고, 수를 세고 읽고 쓸 수 있다.","수가 사용되는 여러 가지 실생활 상황에서 수의 필요성을 말하고, 0과 50까지 또는 100까지의 수를 10개씩 묶음과 낱개로 나타내며, 수를 읽고 쓸 수 있다.","실생활에서 수가 사용되는 상황을 말하고, 10개씩 묶음과 낱개를 이용하여 0과 50까지 또는 100까지의 수 개념을 이해하며, 수를 읽고 쓸 수 있다.","실생활에서 수가 사용됨을 알고, 구체물을 세어 0과 50까지 또는 100까지의 수 개념을 이해하며, 수를 읽고 쓸 수 있다.",,32
[2수01-02],초등 1~2학년군,수학,수와 연산,"일, 십, 백, 천의 자릿값과 위치적 기수법을 이해하고, 네 자리 이하의 수를 읽고 쓸 수 있다.","세 자리 수 또는 네 자리 수를 각 자리의 숫자가 나타내는 수들의 합으로 나타내고, 수를 읽고 쓸 수 있다.","세 자리 수 또는 네 자리 수에서 각 자리의 숫자가 나타내는 수를 말하고, 수를 읽고 쓸 수 있다.","일, 십, 백 또는 천의 자리를 알고, 세 자리 수 또는 네 자리 수를 읽고 쓸 수 있다.",,32
[2수01-03],초등 1~2학년군,수학,수와 연산,"네 자리 이하의 수의 범위에서 수의 계열을 이해하고, 수의 크기를 비교할 수 있다.","네 자리 이하의 수의 범위에서 수의 계열을 이해하고 여러 가지 방법으로 수를 세며, 수의 크기를 비교하고 그 방법을 설명할 수 있다.","네 자리 이하의 수의 범위에서 수의 계열을 이해하여 뛰어 세기를 하고, 수의 크기를 비교할 수 있다.","네 자리 이하의 수의 범위에서 수를 순서대로 말하고, 구체적인 조작 활동을 통하여 수의 크기를 비교할 수 있다.",,32
[2수01-04],초등 1~2학년군,수학,수와 연산,하나의 수를 두 수로 분해하고 두 수를 하나의 수로 합성하는 활동을 통하여 수 감각을 기른다.,"수 감각을 바탕으로 하나의 수를 여러 가지 경우의 두 수로 가르고, 두 수를 하나의 수로 모을 수 있다.","수 감각을 바탕으로 하나의 수를 두 수로 가르고, 두 수를 하나의 수로 모을 수 있다.","구체물을 이용하여 하나의 수를 두 수로 가르고, 두 수를 하나의 수로 모을 수 있다.",,32
[2수01-05],초등 1~2학년군,수학,수와 연산,덧셈과 뺄셈이 이루어지는 실생활 상황과 연결하여 덧셈과 뺄셈의 의미를 이해한다.,"덧셈과 뺄셈이 이루어지는 실생활 상황과 연결하여 덧셈과 뺄셈의 의미를 말하고, 그 상황을 덧셈식이나 뺄셈식으로 나타낼 수 있다.",실생활 상황을 덧셈식이나 뺄셈식으로 나타낼 수 있다.,"안내된 절차에 따라 덧셈이 이루어지는 상황을 덧셈식으로, 뺄셈이 이루어지는 상황을 뺄셈식으로 나타낼 수 있다.",,33
[2수01-06],초등 1~2학년군,수학,수와 연산,두 자리 수의 범위에서 덧셈과 뺄셈의 계산 원리를 이해하고 그 계산을 할 수 있다.,"두 자리 수의 범위에서 덧셈과 뺄셈을 하고, 그 계산 원리를 말할 수 있다.","두 자리 수의 범위에서 덧셈과 뺄셈의 계산 원리를 이해하고, 그 계산을 할 수 있다.",안내된 절차에 따라 두 자리 수의 범위에서 간단한 덧셈과 뺄셈을 할 수 있다.,,33
[2수01-07],초등 1~2학년군,수학,수와 연산,덧셈과 뺄셈의 관계를 이해한다.,"한 가지 상황을 덧셈식과 뺄셈식으로 나타내고, 그 상황과 연계해서 덧셈식과 뺄셈식의 관계를 말할 수 있다.",한 가지 상황을 덧셈식과 뺄셈식으로 나타낼 수 있다.,"안내된 절차에 따라 덧셈식을 뺄셈식으로, 뺄셈식을 덧셈식으로 나타낼 수 있다.",,33
[2수01-08],초등 1~2학년군,수학,수와 연산,두 자리 수의 범위에서 세 수의 덧셈과 뺄셈을 할 수 있다.,"두 자리 수의 범위에서 세 수의 덧셈과 뺄셈을 계산하고, 그 방법을 말할 수 있다.",두 자리 수의 범위에서 세 수의 덧셈과 뺄셈을 계산할 수 있다.,안내된 절차에 따라 두 자리 수의 범위에서 간단한 세 수의 덧셈과 뺄셈을 할 수 있다.,,33
[2수01-09],초등 1~2학년군,수학,수와 연산,"□가 사용된 덧셈식과 뺄셈식을 만들고, □의 값을 구할 수 있다.","실생활 상황을 □가 사용된 덧셈식과 뺄셈식으로 나타내며, □의 값을 구하고 그 방법을 말할 수 있다.","주어진 상황을 □가 사용된 덧셈식과 뺄셈식으로 나타내고, □의 값을 구할 수 있다.",안내된 절차에 따라 □가 사용된 간단한 덧셈식과 뺄셈식에서 □의 값을 구할 수 있다.,,33
[2수01-10],초등 1~2학년군,수학,수와 연산,곱셈이 이루어지는 실생활 상황과 연결하여 곱셈의 의미를 이해한다.,"곱셈이 이루어지는 실생활 상황과 연결하여 곱셈의 의미를 말하고, 그 상황을 곱셈식으로 나타낼 수 있다.",곱셈이 이루어지는 실생활 상황을 곱셈식으로 나타낼 수 있다.,안내된 절차에 따라 곱셈이 이루어지는 실생활 상황을 곱셈식으로 나타낼 수 있다.,,34
[2수01-11],초등 1~2학년군,수학,수와 연산,"곱셈구구를 이해하고, 한 자리 수의 곱셈을 할 수 있다.","곱셈구구의 원리에 대한 이해를 바탕으로 한 자리 수의 곱셈을 하고, 곱셈구구를 유창하게 말할 수 있다.","곱셈구구의 원리에 대한 이해를 바탕으로 한 자리 수의 곱셈을 하고, 곱셈구구를 말할 수 있다.",안내된 절차에 따라 곱셈구구를 말할 수 있다.,,34
[2수02-01],초등 1~2학년군,수학,변화와 관계,"물체, 무늬, 수 등의 배열에서 규칙을 찾아 여러 가지 방법으로 표현할 수 있다.","물체, 무늬, 수 등의 배열에서 규칙을 찾아 말하고, 여러 가지 방법으로 표현할 수 있다.","물체, 무늬, 수 등의 배열에서 규칙을 찾아 말, 수, 그림, 구체물 등을 이용하여 표현할 수 있다.","안내된 절차에 따라 물체, 무늬, 수 등의 간단한 배열에서 규칙을 찾을 수 있다.",,34
[2수02-02],초등 1~2학년군,수학,변화와 관계,"자신이 정한 규칙에 따라 물체, 무늬, 수 등을 배열할 수 있다.","여러 가지 규칙을 정하고, 그 규칙에 따라 물체, 무늬, 수 등을 배열할 수 있다.","규칙을 정하고, 그 규칙에 따라 물체, 무늬, 수 등을 배열할 수 있다.","주어진 규칙에 따라 물체, 무늬, 수 등을 배열할 수 있다.",,34
[2수03-01],초등 1~2학년군,수학,도형과 측정,"교실 및 생활 주변에서 여러 가지 물건을 관찰하여 직육면체, 원기둥, 구의 모양을 찾고, 이를 이용하여 여러 가지 모양을 만들 수 있다.","주변 물건을 직육면체, 원기둥, 구의 모양으로 분류하여 특징을 말하고, 그 모양들을 이용하여 여러 가지 모양을 만들 수 있다.","주변 물건에서 직육면체, 원기둥, 구의 모양을 찾고, 그 모양들을 이용하여 여러 가지 모양을 만들 수 있다.","주어진 물건에서 직육면체, 원기둥, 구의 모양을 찾고, 그 모양들을 이용하여 간단한 모양을 만들 수 있다.",,35
[2수03-02],초등 1~2학년군,수학,도형과 측정,"쌓기나무를 이용하여 여러 가지 입체도형의 모양을 만들고, 그 모양에 대해 위치나 방향을 이용하여 말할 수 있다.","쌓기나무를 이용하여 다양한 입체도형의 모양을 만들고, 그 모양에 대해 위치나 방향을 이용하여 여러 가지 방법으로 말할 수 있다.","쌓기나무를 이용하여 입체도형의 모양을 만들고, 그 모양에 대해 위치나 방향을 이용하여 말할 수 있다.","안내된 절차에 따라 쌓기나무로 간단한 입체도형의 모양을 만들고, 그 모양에 대해 위치나 방향을 이용하여 말할 수 있다.",,35
[2수03-03],초등 1~2학년군,수학,도형과 측정,"교실 및 생활 주변에서 여러 가지 물건을 관찰하여 삼각형, 사각형, 원의 모양을 찾고, 이를 이용하여 여러 가지 모양을 만들 수 있다.","주변 물건을 삼각형, 사각형, 원의 모양으로 분류하여 특징을 말하고, 그 모양들을 이용하여 여러 가지 모양을 만들 수 있다.","주변 물건에서 삼각형, 사각형, 원의 모양을 찾고, 그 모양들을 이용하여 여러 가지 모양을 만들 수 있다.","주어진 물건에서 삼각형, 사각형, 원의 모양을 찾고, 이를 이용하여 간단한 모양을 만들 수 있다.",,35
[2수03-04],초등 1~2학년군,수학,도형과 측정,"삼각형, 사각형, 원을 직관적으로 이해하고, 그 모양을 그릴 수 있다.","삼각형, 사각형, 원의 예인 것과 아닌 것을 각각 분류하고, 여러 가지 모양의 삼각형, 사각형, 원을 그릴 수 있다.","도형의 예를 통해 삼각형, 사각형, 원을 직관적으로 이해하고, 여러 가지 방법(본뜨기, 도형판 이용 등)으로 삼각형, 사각형, 원을 그릴 수 있다.","주어진 도형에서 삼각형, 사각형, 원을 찾고, 물건을 본떠서 삼각형, 사각형, 원을 그릴 수 있다.",,35
[2수03-05],초등 1~2학년군,수학,도형과 측정,"삼각형, 사각형에서 각각의 공통점을 찾아 말할 수 있다.","삼각형 또는 사각형에서 각 도형의 여러 가지 공통점을 찾고, 이를 이용하여 주어진 도형이 삼각형 또는 사각형임을 말할 수 있다.",삼각형 또는 사각형에서 각 도형의 여러 가지 공통점을 찾아 말할 수 있다.,안내된 절차에 따라 삼각형 또는 사각형에서 각 도형의 공통점을 찾을 수 있다.,,35
[2수03-06],초등 1~2학년군,수학,도형과 측정,"구체물의 길이, 들이, 무게, 넓이를 비교하여 각각 ‘길다, 짧다’, ‘많다, 적다’, ‘무겁다, 가볍다’, ‘넓다, 좁다’ 등을 구별하여 말할 수 있다.","구체물의 길이, 들이, 무게, 넓이를 여러 가지 방법으로 비교하여 각각 ‘길다, 짧다’, ‘많다, 적다’, ‘무겁다, 가볍다’, ‘넓다, 좁다’ 등을 구별하여 말할 수 있다.","구체물의 길이, 들이, 무게, 넓이를 비교하여 각각 ‘길다, 짧다’, ‘많다, 적다’, ‘무겁다, 가볍다’, ‘넓다, 좁다’ 등을 구별할 수 있다.","안내된 절차에 따라 구체물의 길이, 들이, 무게, 넓이를 비교하여 어느 것이 더 긴지, 더 많은지, 더 무거운지, 더 넓은지를 구별할 수 있다.",,36
[2수03-07],초등 1~2학년군,수학,도형과 측정,시계를 보고 시각을 ‘몇 시 몇 분’까지 읽을 수 있다.,"시계가 나타내는 여러 가지 시각을 ‘몇 시’, ‘몇 시 30분’, ‘몇 시 몇 분’ 등으로 읽고, 주어진 시각을 시계에 나타낼 수 있다.","시계가 나타내는 여러 가지 시각을 ‘몇 시’, ‘몇 시 30분’, ‘몇 시 몇 분’ 등으로 읽을 수 있다.","시계에서 짧은바늘은 ‘시’, 긴바늘은 ‘분’을 나타냄을 알고, 안내된 절차에 따라 간단한 시각을 읽을 수 있다.",,36
[2수03-08],초등 1~2학년군,수학,도형과 측정,"1시간과 1분의 관계를 이해하고, 시간을 ‘시간’, ‘분’으로 표현할 수 있다.",1시간과 1분의 관계를 이용하여 실생활 상황에서 시간을 ‘몇 시간 몇 분’과 ‘몇 분’으로 각각 나타낼 수 있다.,"1시간과 1분의 관계를 이용하여 ‘몇 시간 몇 분’을 ‘몇 분’으로, ‘몇 분’을 ‘몇 시간 몇 분’으로 나타낼 수 있다.","1시간이 60분임을 알고, 안내된 절차에 따라 ‘몇 시간’을 ‘몇 분’으로, ‘몇 분’을 ‘몇 시간’으로 나타낼 수 있다.",,36
[2수03-09],초등 1~2학년군,수학,도형과 측정,"실생활 문제 상황과 연결하여 1분, 1시간, 1일, 1주일, 1개월, 1년 사이의 관계를 이해한다.","1분, 1시간, 1일 사이의 관계와 1일, 1주일, 1개월, 1년 사이의 관계를 말하고, 이를 실생활 상황에 적용할 수 있다.","1시간은 60분, 1일은 24시간임을 이용하여 1분, 1시간, 1일 사이의 관계를 말하고, 달력을 이용하여 1일, 1주일, 1개월, 1년 사이의 관계를 말할 수 있다.","1시간은 60분, 1일은 24시간, 1주일은 7일, 1년은 12개월임을 말할 수 있다.",,36
[2수03-10],초등 1~2학년군,수학,도형과 측정,"길이 단위 1cm와 1m를 알고, 이를 이용하여 주변 사물의 길이를 측정할 수 있다.","임의 단위와 표준 단위를 비교하여 표준 단위의 필요성을 말하고, 1cm 또는 1m의 단위로 여러 가지 물건의 길이를 측정하여 비교할 수 있다.","표준 단위의 필요성을 알고, 1cm 또는 1m의 단위로 여러 가지 물건의 길이를 측정할 수 있다.",안내된 절차에 따라 1cm 또는 1m의 단위로 주어진 사물의 길이를 측정할 수 있다.,,37
[2수03-11],초등 1~2학년군,수학,도형과 측정,"1m와 1cm의 관계를 이해하고, 길이를 ‘몇 m 몇 cm’와 ‘몇 cm’로 표현할 수 있다.",1m와 1cm의 관계를 이용하여 실생활 상황에서 여러 가지 길이를 ‘몇 m 몇 cm’와 ‘몇 cm’로 표현할 수 있다.,"1m와 1cm의 관계를 이용하여 ‘몇 m 몇 cm’를 ‘몇 cm’로, ‘몇 cm’를 ‘몇 m 몇cm’로 나타낼 수 있다.","1m가 100cm임을 알고, 안내된 절차에 따라 ‘몇 m’를 ‘몇 cm’로, ‘몇 cm’를 ‘몇 m’로 나타낼 수 있다.",,37
[2수03-12],초등 1~2학년군,수학,도형과 측정,"여러 가지 물건의 길이를 어림하고, 길이에 대한 양감을 기른다.","길이에 대한 양감을 이용하여 물건의 길이를 여러 가지 방법으로 어림하고, 어림한 방법을 말할 수 있다.","길이에 대한 양감을 바탕으로 주어진 물건의 길이를 어림하고, 어림한 길이를 자로 잰 길이와 비교할 수 있다.",안내된 절차에 따라 1cm 또는 1m와 비교하여 물건의 길이를 어림할 수 있다.,,37
[2수03-13],초등 1~2학년군,수학,도형과 측정,실생활 문제 상황과 연결하여 길이의 덧셈과 뺄셈을 할 수 있다.,"실생활 문제 상황을 길이의 덧셈과 뺄셈으로 나타내어 계산하고, 그 과정을 말할 수 있다.","실생활 문제 상황을 길이의 덧셈과 뺄셈으로 나타내고, 그 계산을 할 수 있다.",안내된 절차에 따라 간단한 길이의 덧셈과 뺄셈을 할 수 있다.,,37
[2수04-01],초등 1~2학년군,수학,자료와 가능성,"여러 가지 사물을 정해진 기준 또는 자신이 정한 기준으로 분류하여 개수를 세어 보고, 기준에 따른 결과를 말할 수 있다.","사물을 여러 가지 기준으로 분류하고, 분류한 결과와 분류할 때 분명한 기준이 필요함을 말할 수 있다.","사물을 정해진 기준 또는 자신이 정한 기준으로 분류하고, 개수를 세어 분류한 결과를 말할 수 있다.","안내된 절차에 따라 사물을 간단한 기준으로 분류하고, 개수를 셀 수 있다.",,38
[2수04-02],초등 1~2학년군,수학,자료와 가능성,"자료를 분류하여 표로 나타내고, 자료를 표로 나타내면 편리한 점을 말할 수 있다.","자료를 분류하여 표로 나타내고, 표를 보고 알게 된 사실과 자료를 표로 나타내면 편리한 점을 말할 수 있다.","분류한 자료를 표로 나타내고, 자료를 표로 나타내면 편리한 점을 말할 수 있다.",자료를 보고 일부가 주어진 표를 완성할 수 있다.,,38
[2수04-03],초등 1~2학년군,수학,자료와 가능성,"자료를 분류하여 ○, ×, / 등을 이용한 그래프로 나타내고, 자료를 그래프로 나타내면 편리한 점을 말할 수 있다.","자료를 분류하여 ○, ×, / 등을 이용한 그래프로 나타내고, 그래프를 보고 알게 된 사실과 자료를 그래프로 나타내면 편리한 점을 말할 수 있다.","분류한 자료를 ○, ×, / 등을 이용한 그래프로 나타내고, 자료를 그래프로 나타내면 편리한 점을 말할 수 있다.","표를 보고 일부가 주어진 ○, ×, / 등을 이용한 그래프를 완성할 수 있다.",,38
[2바01-01],초등 1~2학년군,바른 생활,우리는 누구로 살아갈까,학교 생활 습관과 학습 습관을 형성하여 안전하고 건강하게 생활한다.,"학교에서 지켜야 할 규칙과 올바른 학습 습관이 필요한 이유와 중요성을 이해하고 스스로 실천하여 습관화하며, 안전하고 건강한 학교생활을 한다.",학교에서 지켜야 할 규칙을 알고 올바른 학습 습관의 필요성을 이해하고 실천하여 안전하고 건강한 학교생활을 한다.,학교에서 지켜야 할 규칙과 올바른 학습 습관의 필요성을 일부 이해하고 실천하여 안전하고 건강한 생활을 하고자 노력한다.,,57
[2바01-02],초등 1~2학년군,바른 생활,우리는 누구로 살아갈까,나를 이해하고 존중하며 생활한다.,"몸과 마음을 소중하게 생각해야 하는 까닭과 필요한 상황을 알고, 나를 이해하고 존중하며 자신감을 가지고 매사에 긍정적인 태도로 자신의 일을 스스로 해결한다.","몸과 마음을 소중하게 생각해 행동해야 하는 상황을 알고, 나에게 긍정적인 태도로 자신의 일을 해결한다.",몸과 마음이 소중함을 알고 자신의 일을 해결하려고 노력한다.,,57
[2바01-03],초등 1~2학년군,바른 생활,우리는 누구로 살아갈까,가족이나 주변 사람을 배려하며 관계를 맺는다.,"타인 존중 및 배려의 의미와 그것이 필요한 상황을 이해하며 가족이나 주변 사람에게 배려와 나눔을 실천하고, 예의를 지키며 감사의 마음을 적극적으로 표현한다.",타인을 존중해야 하는 상황을 이해하고 가족이나 주변 사람에게 배려와 나눔을 실천하며 감사하는 마음을 갖는다.,타인을 존중해야 하는 상황을 구별하고 가족이나 주변 사람에게 배려와 나눔을 실천하려고 노력하며 주변 사람에게 관심을 갖는다.,,57
[2바01-04],초등 1~2학년군,바른 생활,우리는 누구로 살아갈까,생태환경에서 더불어 살기 위해 노력한다.,"우리 주변의 생태환경과 나의 삶과의 관계를 이해하고, 지속가능한 생태환경을 만드는데 필요한 행동을 적극적으로 실천한다.","우리 주변의 생태환경과 나의 삶과의 관계를 이해하고, 지속가능한 생태환경을 만드는데 필요한 행동을 실천한다.",생태환경과 나의 삶과의 관계를 생각해 보며 생태환경을 만들기 위해 실천하려고 노력한다.,,57
[2바02-01],초등 1~2학년군,바른 생활,우리는 어디서 살아갈까,공동체에서 내가 할 수 있는 일을 찾아보고 실천한다.,"우리 집과 학교, 마을이 내가 속한 공동체임을 알고, 공동체 생활에서 내가 할 수 있는 일을 적극적으로 찾아 꾸준히 실천하는 태도를 갖는다.","우리 집과 학교, 마을이 내가 속한 공동체임을 알고, 공동체 생활에서 내가 할 수 있는 일을 찾아 실천한다.","우리 집과 학교, 마을을 위해 내가 할 수 있는 일을 구별하며, 공동체 생활에서 내가 할 수 있는 일을 찾아 실천하려고 노력한다.",,58
